date,County,latitude,longitude,precipitation_amount_mm,air_temp_celsius,dew_point_air_temp_celsius,relative_humidity_precent,mean_sea_level_pressure,mean_hourly_wind_speed_knots,mean_hourly_wind_speed_kph,wind_gust_kph,wind_direction_degrees,wind_geo_direction
28/02/2024 00:00,Donegal,55.372,-7.339,0,7.2,3.8,78.99,1015,7.56,14,26.6,217.8,SW
28/02/2024 01:00,Donegal,55.372,-7.339,0,6.7,3.6,80.6,1014,7.99,14.8,28.1,211.2,SW
28/02/2024 02:00,Donegal,55.372,-7.339,0,6.6,3.7,81.73,1014,7.99,14.8,28.8,210.1,SW
28/02/2024 03:00,Donegal,55.372,-7.339,0,6.4,2.7,77.21,1012,8.15,15.1,28.8,192.9,S
28/02/2024 04:00,Donegal,55.372,-7.339,0.5,6.2,2.6,77.73,1011,10.31,19.1,33.8,177.5,S
28/02/2024 05:00,Donegal,55.372,-7.339,0.7,6,2.6,78.81,1009,14.2,26.3,46.4,173.6,S
28/02/2024 06:00,Donegal,55.372,-7.339,0.3,5.6,2.9,82.76,1007,16.74,31,55.1,179.3,S
28/02/2024 07:00,Donegal,55.372,-7.339,0,7,4,81.21,1007,11.07,20.5,44.6,220,SW
28/02/2024 08:00,Donegal,55.372,-7.339,0,6.5,4.5,87.05,1005.9,17.6,32.6,60.5,180,S
28/02/2024 09:00,Donegal,55.372,-7.339,0,7.6,6,89.23,1005.2,14.36,26.6,54,202,S
28/02/2024 10:00,Donegal,55.372,-7.339,0,8.6,7.1,90.3,1005,14.47,26.8,50.8,213,SW
28/02/2024 11:00,Donegal,55.372,-7.339,0,9.6,8.1,90.37,1004.8,14.09,26.1,48.6,212,SW
28/02/2024 12:00,Donegal,55.372,-7.339,0,11.1,9.8,91.58,1004,14.58,27,39.6,212,SW
28/02/2024 13:00,Donegal,55.372,-7.339,0,11.7,10,88.81,1003.6,12.8,23.7,42.8,220,SW
28/02/2024 14:00,Donegal,55.372,-7.339,0.1,11.4,9.8,89.54,1001.8,13.77,25.5,42.1,212,SW
28/02/2024 15:00,Donegal,55.372,-7.339,0.6,11.4,10,90.62,1000.8,13.45,24.9,37.8,202,S
28/02/2024 16:00,Donegal,55.372,-7.339,0.9,12.1,10.3,88.52,999.8,16.15,29.9,42.1,207,SW
28/02/2024 17:00,Donegal,55.372,-7.339,0.8,12.1,9.8,85.61,998.8,18.14,33.6,43.9,220,SW
